# FAO production data is used to scale Net Exports (FAO Exports - FAO Imports) at the Region level
# such that Global Production equals Consumption (Production - Net Exports).
GCAM_region_ID,GCAM_commodity,year,Prod_bm3,NetExp_bm3,Cons_bm3
16,Forest,1996,0.01301238,-0.0018370136431160953,0.014849393643116096
16,Forest,1997,0.012957080000000001,-0.00186120630492753,0.014818286304927531
16,Forest,1998,0.013678366400000001,-0.0012374296149551007,0.014915796014955102
16,Forest,1999,0.0141144678,-8.501338899332255e-4,0.014964601689933226
16,Forest,2000,0.0141916194,-6.575881198302731e-4,0.014849207519830272
16,Forest,2001,0.014387505,-4.3595930541825284e-4,0.014823464305418253
16,Forest,2002,0.014541238400000002,-3.338743830479142e-4,0.014875112783047916
16,Forest,2003,0.014052349,-7.504575048197498e-4,0.01480280650481975
16,Forest,2004,0.014220253200000001,-9.541026754925075e-4,0.015174355875492509
16,Forest,2005,0.014776039999999999,-9.600160961306999e-4,0.0157360560961307
16,Forest,2006,0.015148406000000001,-7.596673268034527e-4,0.015908073326803454
16,Forest,2007,0.015083246400000003,-4.6572619082195683e-4,0.01554897259082196
16,Forest,2008,0.015169673000000002,-1.8323887146283122e-4,0.015352911871462833
16,Forest,2009,0.0151019682,-9.526307784316242e-5,0.015197231277843162
16,Forest,2010,0.014951569200000002,2.6065992677626153e-4,0.01469090927322374
16,Forest,2011,0.0151621164,7.686480483173053e-4,0.014393468351682695
16,Forest,2012,0.0159049882,0.0013644909929610895,0.014540497207038912
16,Forest,2013,0.0161118002,0.0021767074293469607,0.013935092770653041
16,Forest,2014,0.01634437425,0.0027193516131390986,0.013625022636860903
16,Forest,2015,0.016706600000000002,0.003222000971300326,0.013484599028699676
17,Forest,1971,0.20647849680000002,-2.975519994459219e-4,0.20677604879944594
17,Forest,1972,0.2122810646,-2.5466679374616663e-4,0.21253573139374618
17,Forest,1973,0.2175091352,-2.720144297541083e-4,0.21778114962975412
17,Forest,1974,0.22279338640000002,-3.492661207504244e-4,0.22314265252075044
17,Forest,1975,0.22712052040000003,-4.077829374675712e-4,0.2275283033374676
17,Forest,1976,0.23107628340000003,-4.3332113703775654e-4,0.23150960453703778
17,Forest,1977,0.235845871,-4.880805215929651e-4,0.23633395152159298
17,Forest,1978,0.2409067792,-4.6920700139163607e-4,0.24137598620139164
17,Forest,1979,0.2457112828,-3.7035300017243533e-4,0.24608163580017245
17,Forest,1980,0.2513401242,-3.215327489412556e-4,0.25166165694894127
17,Forest,1981,0.25718075100000004,-2.447128179932645e-4,0.2574254638179933
17,Forest,1982,0.2622933698,-2.0239235795782573e-4,0.26249576215795783
17,Forest,1983,0.2679311672,-1.7389269000517293e-4,0.26810505989000516
17,Forest,1984,0.27373133180000003,-2.6311432223435904e-4,0.2739944461222344
17,Forest,1985,0.2793202148,-4.1911270640115905e-4,0.2797393275064012
17,Forest,1986,0.284378218,-6.600889485667283e-4,0.28503830694856674
17,Forest,1987,0.2888390684,-8.914050560636655e-4,0.2897304734560637
17,Forest,1988,0.295147875,-0.001183016141327542,0.29633089114132755
17,Forest,1989,0.3015944154,-0.0013779867176605398,0.3029724021176605
17,Forest,1990,0.307491884,-0.0014289403786822974,0.3089208243786823
17,Forest,1991,0.31372526060000006,-0.0011987384160947467,0.3149239990160948
17,Forest,1992,0.3195748344,-8.763578423692242e-4,0.32045119224236923
17,Forest,1993,0.322643611,-5.600267333025211e-4,0.3232036377333025
17,Forest,1994,0.32238501480000004,-3.779692108134558e-4,0.3227629840108135
17,Forest,1995,0.3216990494,-2.619489103877215e-4,0.3219609983103877
17,Forest,1996,0.32045953260000004,-5.598515469471543e-4,0.3210193841469472
17,Forest,1997,0.318946836,-0.0010021839767787033,0.3199490199767787
17,Forest,1998,0.317330016,-0.001490977211005995,0.318820993211006
17,Forest,1999,0.31797041600000003,-0.0018229045461354842,0.3197933205461355
17,Forest,2000,0.3232778222,-0.0021103616838813455,0.32538818388388135
17,Forest,2001,0.3289412204,-0.0024085559061021167,0.33134977630610213
17,Forest,2002,0.33496208600000005,-0.0026993279587070873,0.33766141395870714
17,Forest,2003,0.3413417014,-0.0029155416391405953,0.34425724303914057
17,Forest,2004,0.34787474780000005,-0.0031031318188587953,0.35097787961885885
17,Forest,2005,0.3499239384,-0.003450014698195114,0.35337395309819514
17,Forest,2006,0.351799397,-0.0036044792096180944,0.3554038762096181
17,Forest,2007,0.353499573,-0.004006241619648188,0.3575058146196482
17,Forest,2008,0.35502249,-0.00435114242826784,0.35937363242826786
17,Forest,2009,0.3562861102,-0.004969689293288504,0.3612557994932885
17,Forest,2010,0.3571380864,-0.005514187304432372,0.36265227370443237
17,Forest,2011,0.3575784864,-0.00609525821156176,0.36367374461156177
17,Forest,2012,0.3576071682,-0.006483189774855569,0.36409035797485556
17,Forest,2013,0.3572242142,-0.006573724254005486,0.3637979384540055
17,Forest,2014,0.35695693050000005,-0.006614323674914047,0.3635712541749141
17,Forest,2015,0.35668894700000003,-0.006600709145932526,0.36328965614593256
18,Forest,1971,0.214437856,0.01055988988297163,0.20387796611702838
18,Forest,1972,0.214681104,0.013246316279297704,0.2014347877207023
18,Forest,1973,0.2131390176,0.01459589662049382,0.1985431209795062
18,Forest,1974,0.2123301616,0.0163782140875863,0.1959519475124137
18,Forest,1975,0.2101987232,0.017682167885877675,0.19251655531412232
18,Forest,1976,0.2069343664,0.01810742803926993,0.18882693836073008
18,Forest,1977,0.2038823792,0.018607570819122676,0.18527480838087731
18,Forest,1978,0.2022654136,0.018975640317375225,0.18328977328262477
18,Forest,1979,0.1979636192,0.016446088067019138,0.18151753113298086
18,Forest,1980,0.1944142952,0.01317411436144389,0.18124018083855611
18,Forest,1981,0.190390424,0.00979986791728188,0.18059055608271812
18,Forest,1982,0.1868752792,0.006333908323276682,0.1805413708767233
18,Forest,1983,0.18254325200000002,0.0031351406881003907,0.17940811131189963
18,Forest,1984,0.1800202216,0.00178408926738427,0.17823613233261573
18,Forest,1985,0.1778482456,0.00113163805080721,0.1767166075491928
18,Forest,1986,0.1759978184,4.397529505653641e-4,0.17555806544943464
18,Forest,1987,0.1743396248,1.4486653336809319e-5,0.1743251381466632
18,Forest,1988,0.1722166696,-4.436719758801888e-5,0.17226103679758803
18,Forest,1989,0.1697918952,-1.346092100112939e-4,0.16992650441001128
18,Forest,1990,0.1665667784,-1.9887489485065357e-4,0.16676565329485066
18,Forest,1991,0.1626644072,-1.7885102097361938e-4,0.16284325822097362
18,Forest,1992,0.157794012,-8.956463601808573e-5,0.1578835766360181
18,Forest,1993,0.1536236872,-4.5698139792826886e-5,0.15366938533979282
18,Forest,1994,0.149697708,1.0225166342747727e-5,0.14968748283365726
18,Forest,1995,0.14625232080000003,6.461893646794725e-5,0.14618770186353208
18,Forest,1996,0.14429810480000002,5.870835224314197e-5,0.14423939644775688
18,Forest,1997,0.14340320080000002,2.146814638290251e-5,0.14338173265361712
18,Forest,1998,0.142257652,2.7884712807546563e-4,0.14197880487192455
18,Forest,1999,0.1396625488,5.670988584401959e-4,0.1390954499415598
18,Forest,2000,0.13833410240000002,8.965165902151129e-4,0.1374375858097849
